scientific_name,park_name,observations
Heuchera pubescens,Yosemite,151
Minuartia nuttallii ssp. gracilis,Yosemite,143
Calamagrostis cainii,Redwood,126
Castilleja pulchella,Yellowstone,247
Myotis grisescens,Redwood,27
Acer nigrum,Yellowstone,258
Asclepias speciosa,Redwood,93
Neotamias umbrinus,Redwood,101
Ribes hudsonianum,Redwood,85
Ectopistes migratorius,Redwood,114
Erechtites hieraciifolia var. hieraciifolia,Yosemite,172
Ptelea trifoliata,Yellowstone,268
Saxifraga oregana,Yellowstone,252
Sternotherus minor peltifer,Yellowstone,269
Botrychium matricariifolium,Yellowstone,271
Hygrohypnum ochraceum,Redwood,89
Allium bisceptrum var. bisceptrum,Great Smoky Mountains,68
Potentilla argentea,Yosemite,108
Thalictrum dioicum,Yellowstone,255
Cynosurus echinatus,Great Smoky Mountains,56
Bryohaplocladium microphyllum,Yosemite,166
Solidago californica,Yellowstone,255
Conyza canadensis,Great Smoky Mountains,83
Reithrodontomys megalotis,Yellowstone,270
Prunus hortulana,Great Smoky Mountains,61
Prunus,Redwood,124
Pandion haliaetus,Yellowstone,223
Fritillaria pinetorum,Great Smoky Mountains,75
Coronilla varia,Redwood,138
Mniotilta varia,Redwood,112
Juncus parryi,Great Smoky Mountains,67
Goodyera pubescens,Great Smoky Mountains,58
Sagina decumbens ssp. occidentalis,Yellowstone,243
Lampropeltis getula nigra,Redwood,155
Bromus commutatus,Great Smoky Mountains,66
Helianthus divaricatus,Redwood,124
Carex gracilescens,Yosemite,159
Mimulus rubellus,Yellowstone,230
Typha latifolia,Redwood,108
Cleistes divaricata,Redwood,98
Poa cusickii ssp. cusickii,Yellowstone,290
Hieracium piloselloides,Yellowstone,241
Crepis capillaris,Yosemite,148
Helianthus californicus,Yellowstone,268
Oreothlypis peregrina,Redwood,71
Anas discors,Yosemite,190
Orobanche uniflora,Yosemite,174
Sonchus asper,Yosemite,174
Clarkia heterandra,Yellowstone,254
Cyperus retrorsus var. robustus,Yosemite,118
Sphyrapicus thyroideus,Great Smoky Mountains,51
Goodyera oblongifolia,Redwood,66
Danthonia californica var. californica,Great Smoky Mountains,118
Sedum stenopetalum,Redwood,119
Silene oregana,Yosemite,145
Opuntia polyacantha var. polyacantha,Yosemite,139
Rubus phoenicolasius,Redwood,126
Gentiana calycosa,Yosemite,165
Eragrostis hirsuta,Yellowstone,267
Crotalaria sagittalis,Yellowstone,248
Coluber constrictor,Great Smoky Mountains,73
Cardamine rotundifolia,Redwood,103
Oxalis dillenii,Great Smoky Mountains,92
Aspidoscelis tigris munda,Yellowstone,214
Agrostis pallens,Redwood,77
Hexastylis shuttleworthii,Great Smoky Mountains,41
Clarkia dudleyana,Redwood,91
Leymus triticoides,Yellowstone,243
Carex praeceptorium,Redwood,83
Sayornis saya,Yosemite,147
Linanthus nuttallii ssp. pubescens,Yellowstone,275
Chenopodium simplex,Yosemite,141
Potamogeton foliosus ssp. fibrillosus,Great Smoky Mountains,72
Trichostema oblongum,Redwood,63
Pycnanthemum pycnanthemoides,Yosemite,169
Tringa incana,Great Smoky Mountains,89
Hyophila involuta,Redwood,140
Noturus flavus,Great Smoky Mountains,62
Myosurus apetalus var. montanus,Yosemite,137
Calochortus superbus,Yosemite,146
Acer macrophyllum,Great Smoky Mountains,33
Lepidium densiflorum var. pubecarpum,Yosemite,154
Cardinalis cardinalis,Yellowstone,244
Fritillaria pudica,Yellowstone,249
Melospiza lincolnii,Yellowstone,207
Microtus richardsoni,Redwood,88
Pinus sabiniana,Yosemite,89
Photinia melanocarpa,Yellowstone,234
Streptopus amplexifolius var. amplexifolius,Great Smoky Mountains,43
Anagallis arvensis,Redwood,124
Puma concolor,Great Smoky Mountains,79
Cephalozia catenulata,Yosemite,169
Sphagnum quinquefarium,Yellowstone,269
Betula alleghaniensis var. alleghaniensis,Yellowstone,251
Reithrodontomys megalotis,Great Smoky Mountains,79
Nothoscordum bivalve,Redwood,117
Utricularia gibba,Great Smoky Mountains,80
Potentilla nivea,Yellowstone,229
Cardamine diphylla,Redwood,111
Gentiana decora,Yellowstone,249
Carex festucacea,Yosemite,129
Polygonum phytolaccifolium,Yellowstone,252
Antrozous pallidus,Great Smoky Mountains,61
Dicentra cucullaria,Redwood,102
Rhodobryum roseum,Yosemite,151
Hackelia patens var. patens,Yellowstone,251
Alisma plantago-aquatica,Yellowstone,290
Calamagrostis breweri,Redwood,96
Silene hitchguirei,Yellowstone,252
Sylvilagus floridanus,Yellowstone,271
Eleocharis palustris,Redwood,64
Crataegus pruinosa,Yosemite,120
Dendroica petechia,Great Smoky Mountains,93
Riparia riparia,Great Smoky Mountains,92
Eupatorium capillifolium,Yosemite,161
Lotus wrangelianus,Redwood,99
Trifolium arvense,Redwood,95
Sorex trowbridgii,Yosemite,140
Sibbaldiopsis tridentata,Yellowstone,269
Carex feta,Redwood,103
Anthus spinoletta,Yellowstone,241
Smilax hugeri,Yosemite,125
Herpetineuron toccoae,Yosemite,148
Parnassia glauca,Great Smoky Mountains,70
Agoseris glauca var. laciniata,Yellowstone,290
Poa stebbinsii,Yellowstone,226
Hypericum punctatum,Redwood,96
Packera obovata,Great Smoky Mountains,64
Mertensia ciliata var. ciliata,Yellowstone,232
Lasiurus cinereus,Yosemite,150
Layia pentachaeta ssp. pentachaeta,Redwood,104
Symphyotrichum foliaceum var. canbyi,Yosemite,145
Dendragapus fuliginosus,Yellowstone,261
Carex tompkinsii,Redwood,126
Panicum miliaceum,Great Smoky Mountains,78
Aconitum columbianum ssp. columbianum,Great Smoky Mountains,91
Taxiphyllum taxirameum,Yellowstone,241
Herpetineuron toccoae,Yellowstone,227
Setophaga castanea,Great Smoky Mountains,76
Dodecatheon subalpinum,Yosemite,149
Phyllodoce empetriformis,Redwood,134
Tripsacum dactyloides,Yellowstone,258
Lupinus argenteus var. argenteus,Redwood,58
Epipactis helleborine,Great Smoky Mountains,35
Angelica lineariloba,Yellowstone,284
Melanitta fusca,Redwood,108
Lotus nevadensis var. nevadensis,Redwood,68
Etheostoma jessiae,Yellowstone,252
Eragrostis cilianensis,Yellowstone,252
Senecio streptanthifolius,Yosemite,135
Rattus rattus,Yellowstone,239
Psaltriparus minimus,Great Smoky Mountains,97
Yucca glauca,Yellowstone,257
Calypso bulbosa,Great Smoky Mountains,82
Dichelostemma volubile,Great Smoky Mountains,67
Bryum gemmiparum,Redwood,80
Geum radiatum,Great Smoky Mountains,27
Cardaria chalapensis,Great Smoky Mountains,47
Barbarea vulgaris,Great Smoky Mountains,84
Poa chapmaniana,Yosemite,141
Senecio pauciflorus,Yosemite,144
Carex gynocrates,Yellowstone,237
Crataegus intricata,Redwood,90
Salvelinus fontinalis,Yellowstone,270
Gallinula chloropus,Redwood,110
Urtica dioica ssp. holosericea,Yellowstone,236
Symphyotrichum novae-angliae,Great Smoky Mountains,98
Spiranthes porrifolia,Redwood,91
Raillardella argentea,Yellowstone,203
Atrichum altecristatum,Great Smoky Mountains,88
Agrostis scabra var. scabra,Yosemite,125
Juncus dudleyi,Redwood,92
Carex multicaulis,Yellowstone,264
Lonicera sempervirens,Yosemite,120
Muscari comosum,Yosemite,137
Anthus spinoletta,Yosemite,152
Juncus hemiendytus var. abjectus,Redwood,81
Senecio triangularis,Yellowstone,234
Senna hebecarpa,Yellowstone,239
Bryohaplocladium microphyllum,Yellowstone,249
Penstemon azureus var. angustissimus,Great Smoky Mountains,76
Salix reticulata ssp. nivalis,Redwood,101
Calidris himantopus,Redwood,91
Thuidium delicatulum,Yosemite,151
Myriophyllum aquaticum,Redwood,136
Rubus ursinus,Yosemite,157
Cordylanthus rigidus ssp. brevibracteatus,Yellowstone,260
Arabis glabra var. glabra,Yellowstone,272
Sedum spectabile,Yosemite,115
Scalopus aquaticus,Great Smoky Mountains,81
Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Yellowstone,248
Nerodia erythrogaster,Yellowstone,222
Hydrophyllum macrophyllum,Redwood,74
Leskea obscura,Redwood,113
Lonicera utahensis,Yellowstone,254
Erigeron corymbosus,Yellowstone,222
Callitriche heterophylla var. bolanderi,Redwood,81
Plantago,Yellowstone,278
Phyllodoce breweri,Great Smoky Mountains,54
Fagopyrum esculentum,Yellowstone,255
Viola sororia var. affinis,Yellowstone,252
Alopecurus aequalis,Yellowstone,256
Spinus lawrencei,Great Smoky Mountains,105
Erigeron foliosus var. hartwegii,Yosemite,159
Lepidium densiflorum,Yellowstone,240
Tringa incana,Yellowstone,257
Lapsana communis,Yellowstone,234
Dicentra pauciflora,Great Smoky Mountains,45
Trillium rugelii,Yellowstone,279
Leucothoe recurva,Great Smoky Mountains,72
Lilaea scilloides,Yellowstone,218
Maclura pomifera,Yellowstone,226
Gilia leptalea ssp. leptalea,Yosemite,175
Agalinis purpurea,Redwood,91
Cuscuta rostrata,Yellowstone,270
Ranunculus muricatus,Great Smoky Mountains,34
Ribes aureum var. aureum,Yellowstone,246
Arabis davidsonii,Great Smoky Mountains,96
Castilleja tenuis,Yellowstone,234
Juncus mexicanus,Great Smoky Mountains,123
Euonymus americana,Yellowstone,227
Equus caballus,Great Smoky Mountains,61
Plethodon metcalfi,Great Smoky Mountains,95
Amphidium mougeotii,Yellowstone,255
Coreopsis major,Great Smoky Mountains,62
Campsis radicans,Great Smoky Mountains,96
Elymus glaucus ssp. glaucus,Great Smoky Mountains,56
Castilleja lemmonii,Great Smoky Mountains,80
Euclidium syriacum,Yosemite,164
Poa pratensis,Redwood,66
Lynx rufus,Great Smoky Mountains,30
Plagiobothrys torreyi var. diffusus,Yellowstone,210
Phyllodoce breweri,Yosemite,153
Helianthemum propinquum,Yellowstone,246
Cymopterus cinerarius,Great Smoky Mountains,71
Asclepias fascicularis,Redwood,104
Rubus hispidus,Great Smoky Mountains,103
Pituophis melanoleucus melanoleucus,Yosemite,140
Veronica verna,Redwood,114
Listera caurina,Redwood,81
Polygala sanguinea,Great Smoky Mountains,69
Staphylea trifolia,Redwood,53
Mimulus torreyi,Yellowstone,250
Silene gallica,Great Smoky Mountains,65
Desmodium nuttallii,Redwood,97
Etheostoma stigmaeum,Great Smoky Mountains,61
Desmodium perplexum,Yosemite,172
Calidris mauri,Great Smoky Mountains,96
Heracleum maximum,Yosemite,125
Carex willdenowii,Yellowstone,241
Vulpia myuros,Redwood,106
Trillium catesbaei,Yellowstone,245
Myiarchus crinitus,Redwood,71
Nerodia sipedon sipedon,Great Smoky Mountains,99
Malva moschata,Great Smoky Mountains,14
Desmognathus conanti,Yosemite,143
Erythronium americanum,Yellowstone,246
Arabis repanda var. greenei,Redwood,132
Pinus taeda,Yosemite,206
Muhlenbergia mexicana,Great Smoky Mountains,54
Spizella breweri,Yosemite,126
Artemisia ludoviciana ssp. mexicana,Redwood,74
Calamintha nepeta,Yellowstone,268
Solidago glomerata,Yellowstone,262
Carex abscondita,Yellowstone,212
Falco peregrinus,Redwood,100
Aureolaria pedicularia,Yellowstone,275
Lindernia dubia var. anagallidea,Yellowstone,228
Astragalus vexilliflexus var. vexilliflexus,Yosemite,157
Apalone spinifera spinifera,Yellowstone,263
Potamogeton friesii,Yosemite,138
Lupinus bicolor,Great Smoky Mountains,59
Galium sparsiflorum ssp. sparsiflorum,Great Smoky Mountains,58
Hordeum brachyantherum ssp. brachyantherum,Redwood,128
Nemophila spatulata,Yellowstone,250
Lupinus sericeus,Redwood,134
Anelsonia eurycarpa,Yellowstone,268
Danthonia spicata,Yosemite,161
Juncus bufonius var. bufonius,Yosemite,153
Solidago puberula,Yosemite,168
Ranunculus hispidus,Yosemite,140
Hygrohypnum ochraceum,Yellowstone,292
Penthorum sedoides,Great Smoky Mountains,82
Rhus copallina,Yellowstone,233
Shepherdia canadensis,Redwood,66
Equisetum fluviatile,Great Smoky Mountains,56
Myotis evotis,Great Smoky Mountains,46
Cystopteris fragilis,Redwood,92
Hirundo rustica,Redwood,104
Ceanothus cuneatus var. cuneatus,Great Smoky Mountains,47
Carpodacus cassinii,Great Smoky Mountains,81
Prunus cerasus,Yosemite,141
Picea rubens,Yellowstone,259
Dorosoma cepedianum,Redwood,98
Castilleja pallescens,Redwood,78
Prunus,Yosemite,133
Lasthenia californica,Great Smoky Mountains,109
Oceanodroma castro,Redwood,86
Mitella breweri,Yellowstone,213
Ivesia muirii,Redwood,130
Lycopodium tristachyum,Redwood,122
Sedum acre,Redwood,115
Clitoria mariana,Great Smoky Mountains,69
Rhamnus ilicifolia,Yellowstone,261
Hackelia nervosa,Yellowstone,231
Charina bottae,Redwood,98
Picea glauca,Great Smoky Mountains,71
Herpetineuron toccoae,Great Smoky Mountains,73
Cirsium undulatum,Redwood,55
Quercus falcata,Yosemite,142
Dicentra formosa,Yosemite,99
Empidonax hammondii,Yellowstone,275
Arceuthobium occidentale,Great Smoky Mountains,81
Mimulus primuloides,Great Smoky Mountains,66
Necturus maculosus maculosus,Yellowstone,250
Leucothoe fontanesiana,Yosemite,151
Viburnum ellipticum,Redwood,107
Rhus copallina,Redwood,109
Raillardella scaposa,Redwood,69
Anthemis cotula,Great Smoky Mountains,73
Elephantopus tomentosus,Yellowstone,267
Arnoglossum muehlenbergii,Yellowstone,261
Sanicula bipinnatifida,Yosemite,117
Nuphar lutea ssp. polysepala,Great Smoky Mountains,72
Campostoma anomalum,Redwood,94
Ephemerum spinulosum,Yosemite,152
Mustela erminea,Yellowstone,264
Quercus velutina,Great Smoky Mountains,54
Amorpha glabra,Yosemite,157
Matelea obliqua,Redwood,95
Muhlenbergia schreberi,Redwood,136
Carex atlantica,Yosemite,187
Clethrionomys gapperi gapperi,Redwood,130
Asarum canadense,Redwood,102
Callipepla californica,Yosemite,169
Zonotrichia atricapilla,Yellowstone,224
Fontinalis dalecarlica,Great Smoky Mountains,86
Triteleia ixioides ssp. scabra,Yosemite,114
Sorex tenellus,Great Smoky Mountains,91
Oxalis stricta,Redwood,114
Solidago puberula,Great Smoky Mountains,64
Lontra canadensis,Yosemite,175
Crepis nana,Redwood,86
Lycopodium digitatum,Yellowstone,248
Plethodon ventralis,Redwood,109
Holosteum umbellatum,Yellowstone,231
Arabis lyallii var. nubigena,Great Smoky Mountains,84
Chenopodium pumilio,Yosemite,124
Ranunculus acris var. acris,Yellowstone,227
Hypericum hypericoides,Great Smoky Mountains,73
Tradescantia subaspera var. subaspera,Redwood,114
Tamarix chinensis,Great Smoky Mountains,98
Etheostoma sanguifluum,Great Smoky Mountains,59
Accipiter cooperii,Yosemite,138
Lycopodium dendroideum,Yosemite,173
Madia elegans ssp. elegans,Great Smoky Mountains,82
Eragrostis cilianensis,Yosemite,131
Dicentra eximia,Yellowstone,263
Elaeagnus commutata,Great Smoky Mountains,85
Carya ovalis,Redwood,116
Catabrosa aquatica,Yellowstone,267
Barbarea vulgaris,Yosemite,166
Viola purpurea ssp. purpurea,Redwood,63
Hulsea heterochroma,Yellowstone,250
Carex sparganioides,Yellowstone,278
Solanum lycopersicum var. lycopersicum,Great Smoky Mountains,77
Stephanomeria tenuifolia,Redwood,72
Cryptantha flaccida,Great Smoky Mountains,43
Draba reptans,Yosemite,124
Desmodium canescens,Yosemite,158
Lepomis humilis,Redwood,109
Adenocaulon bicolor,Yellowstone,210
Eriophyllum lanatum var. integrifolium,Great Smoky Mountains,86
Lupinus rivularis,Yosemite,145
Bupleurum rotundifolium,Yosemite,122
Rudbeckia fulgida var. fulgida,Great Smoky Mountains,86
Castilleja applegatei,Yellowstone,208
Gypsophila paniculata,Great Smoky Mountains,104
Juncus ensifolius,Yellowstone,283
Thomomys monticola,Great Smoky Mountains,56
Elaeagnus commutata,Redwood,95
Chrysolepis sempervirens,Yellowstone,285
Empidonax oberholseri,Yellowstone,214
Phalacroseris bolanderi,Yellowstone,259
Navarretia divaricata ssp. divaricata,Yosemite,164
Epilobium clavatum,Great Smoky Mountains,91
Carex filifolia var. erostrata,Redwood,136
Linum lewisii var. lewisii,Great Smoky Mountains,68
Viola bakeri,Great Smoky Mountains,85
Physocarpus opulifolius,Yellowstone,232
Draba ramosissima,Great Smoky Mountains,101
Anomodon attenuatus,Yellowstone,235
Sciurus carolinensis,Redwood,69
Carex barrattii,Great Smoky Mountains,55
Dendroica magnolia,Redwood,99
Nemophila menziesii var. menziesii,Yellowstone,216
Arceuthobium campylopodum,Redwood,106
Sedum integrifolium,Redwood,79
Camissonia lacustris,Yosemite,154
Listera convallarioides,Yellowstone,221
Sphenopholis obtusata,Yellowstone,225
Pluvialis squatarola,Yosemite,158
Aristida oligantha,Redwood,123
Vicia villosa ssp. varia,Yosemite,192
Carex elynoides,Yosemite,132
Eriogonum flavum var. piperi,Redwood,90
Trisetum spicatum,Yellowstone,235
Storeria dekayi dekayi,Yellowstone,226
Linum virginianum,Great Smoky Mountains,83
Eragrostis cilianensis,Yellowstone,242
Trisetum wolfii,Great Smoky Mountains,74
Poa trivialis,Yellowstone,263
Cyperus esculentus,Great Smoky Mountains,71
Tamias umbrinus,Great Smoky Mountains,85
Castilleja parviflora,Great Smoky Mountains,93
Fundulus catenatus,Yosemite,155
Hylotelephium telephioides,Great Smoky Mountains,54
Richardsonius balteatus,Redwood,125
Symphyotrichum foliaceum var. parryi,Great Smoky Mountains,74
Carex willdenowii,Yosemite,131
Cyperus bipartitus,Redwood,106
Gymnocladus dioicus,Great Smoky Mountains,92
Cardamine rotundifolia,Yellowstone,265
Oporornis agilis,Yellowstone,272
Desmodium nudiflorum,Redwood,135
Carex umbellata,Great Smoky Mountains,63
Antennaria neglecta,Yosemite,150
Solidago flexicaulis,Yosemite,135
Sida spinosa,Yosemite,153
Draba densifolia,Redwood,135
Luzula spicata,Yosemite,135
Carex debilis var. rudgei,Great Smoky Mountains,101
Bidens frondosa,Redwood,121
Corynorhinus townsendii,Great Smoky Mountains,111
Carex misera,Redwood,109
Zigadenus venenosus var. gramineus,Yosemite,168
Heuchera parvifolia,Great Smoky Mountains,64
Orbexilum pedunculatum var. pedunculatum,Great Smoky Mountains,94
Pheucticus melanocephalus,Great Smoky Mountains,84
Agoseris retrorsa,Great Smoky Mountains,84
Osmorhiza brachypoda,Great Smoky Mountains,100
Triticum aestivum,Redwood,92
Rana catesbeiana,Yellowstone,240
Luxilus coccogenis,Yellowstone,254
Vicia cracca,Yellowstone,267
Mentzelia lindleyi,Great Smoky Mountains,99
Trillium undulatum,Yellowstone,274
Salvia columbariae,Redwood,111
Orthotrichum strangulatum,Yellowstone,260
Raillardella scaposa,Yosemite,183
Stephanomeria runcinata,Yellowstone,219
Coreopsis auriculata,Yellowstone,239
Didelphis virginiana,Yosemite,139
Parnassia californica,Redwood,143
Perideridia bolanderi,Great Smoky Mountains,78
Lysichiton americanus,Yosemite,130
Dryopteris marginalis,Redwood,111
Lupinus rivularis,Great Smoky Mountains,61
Cyperus retrorsus var. robustus,Yellowstone,259
Aquilegia formosa,Great Smoky Mountains,58
Gyrinophilus porphyriticus,Redwood,72
Epilobium canum ssp. garrettii,Redwood,114
Hymenophyllum tayloriae,Great Smoky Mountains,104
Cirsium andersonii,Yosemite,163
Symphyotrichum patens var. patens,Great Smoky Mountains,58
Artemisia abrotanum,Redwood,113
Fragaria virginiana,Redwood,97
Carex subnigricans,Great Smoky Mountains,69
Rorippa nasturtium-aquaticum,Redwood,91
Dichanthelium dichotomum var. ensifolium,Yosemite,159
Taraxacum officinale,Great Smoky Mountains,91
Pica hudsonia,Yosemite,151
Thalictrum thalictroides,Yellowstone,225
Viola sororia var. affinis,Redwood,127
Plagiothecium cavifolium,Yosemite,140
Dicranum flagellare,Redwood,107
Herniaria hirsuta ssp. cinerea,Redwood,111
Quercus prinus,Yellowstone,244
Procyon lotor,Yosemite,166
Carex nudata,Redwood,92
Osmunda regalis var. spectabilis,Redwood,113
Angelica roseana,Yellowstone,215
Pycnanthemum muticum,Yellowstone,223
Potentilla gracilis var. fastigiata,Yosemite,130
Dendragapus fuliginosus,Great Smoky Mountains,77
Dianthus barbatus,Yellowstone,249
Glaucomys volans,Yosemite,117
Salix jepsonii,Great Smoky Mountains,53
Pyrus communis,Yosemite,171
Lonicera standishii,Yosemite,173
Trachemys scripta troostii,Great Smoky Mountains,48
Moneses uniflora,Yellowstone,286
Camassia quamash ssp. breviflora,Yellowstone,258
Trifolium arvense,Yellowstone,274
Trillium pusillum var. pusillum,Yosemite,150
Castilleja pilosa,Great Smoky Mountains,76
Allophyllum gilioides ssp. gilioides,Redwood,55
Limosella acaulis,Yosemite,128
Sanicula marilandica,Great Smoky Mountains,52
Hemerocallis fulva,Yellowstone,237
Artemisia tridentata ssp. tridentata,Yellowstone,234
Ophioglossum pusillum,Redwood,123
Fagopyrum vulgare,Yosemite,165
Penstemon cyaneus,Redwood,100
Eleocharis quadrangulata,Redwood,108
Ipomoea lacunosa,Yosemite,156
Monarda fistulosa var. menthifolia,Great Smoky Mountains,110
Atriplex argentea,Yellowstone,242
Carex retroflexa,Redwood,52
Trifolium aureum,Yosemite,146
Vulpia octoflora var. octoflora,Yosemite,138
Corallorrhiza wisteriana,Yellowstone,261
Chenopodium album var. missouriense,Great Smoky Mountains,61
Eurycea guttolineata,Yellowstone,218
Pseudacris feriarum feriarum,Yosemite,133
Gambusia holbrooki,Redwood,93
Schlotheimia rugifolia,Great Smoky Mountains,34
Asplenium platyneuron,Great Smoky Mountains,74
Oxyura jamaicensis,Redwood,132
Aristida oligantha,Yellowstone,267
Ludwigia alternifolia,Yosemite,187
Microtus richardsoni,Yellowstone,262
Hemerocallis lilioasphodelus,Yosemite,154
Drosera rotundifolia,Yosemite,108
Isoetes engelmannii,Yellowstone,240
Luxilus cornutus,Yellowstone,245
Lactuca biennis,Redwood,68
Quercus bicolor,Great Smoky Mountains,54
Isothecium myosuroides,Great Smoky Mountains,59
Ranunculus eschscholtzii var. trisectus,Redwood,93
Setophaga nigrescens,Great Smoky Mountains,78
Viola glabella,Redwood,84
Spigelia marilandica,Yellowstone,287
Sagina decumbens ssp. occidentalis,Yosemite,152
Viola rotundifolia,Yosemite,150
Cyperus rivularis,Yosemite,152
Cathartes aura,Great Smoky Mountains,47
Plectritis ciliosa ssp. ciliosa,Redwood,98
Hedwigia ciliata,Great Smoky Mountains,87
Madia yosemitana,Redwood,117
Sorex cinereus,Great Smoky Mountains,47
Populus X acuminata,Yosemite,145
Arabis lemmonii var. lemmonii,Great Smoky Mountains,62
Melica subulata,Yellowstone,258
Moxostoma erythrurum,Great Smoky Mountains,73
Cymopterus nivalis,Yellowstone,241
Rhus hirta,Yellowstone,222
Cerastium arvense,Yosemite,143
Linum medium var. texanum,Redwood,93
Asclepias californica,Great Smoky Mountains,112
Magnolia acuminata,Yellowstone,246
Symphyotrichum campestre,Yellowstone,245
Moxostoma macrolepidotum,Yellowstone,262
Picoides albolarvatus,Yosemite,116
Ranunculus repens,Redwood,76
Bartonia paniculata ssp. paniculata,Yosemite,146
Lepomis megalotis,Great Smoky Mountains,67
Glaucidium gnoma,Redwood,92
Cynoglossum officinale,Redwood,69
Dendroica palmarum,Yellowstone,218
Aesculus sylvatica,Yellowstone,263
Platanus occidentalis,Yellowstone,235
Picoides albolarvatus,Yellowstone,246
Angelica venenosa,Great Smoky Mountains,60
Krigia montana,Great Smoky Mountains,41
Leucothoe davisiae,Redwood,84
Glyceria striata,Yosemite,142
Mimulus floribundus,Yellowstone,252
Lathyrus jepsonii var. californicus,Yellowstone,235
Wolffia brasiliensis,Redwood,85
Abietinella abietina,Great Smoky Mountains,65
Etheostoma maculatum,Redwood,114
Ranunculus cymbalaria var. saximontanus,Yellowstone,227
Krascheninnikovia lanata,Yellowstone,255
Sematophyllum marylandicum,Yosemite,166
Stellaria longipes var. longipes,Yellowstone,256
Aureolaria virginica,Yosemite,131
Notropis atherinoides,Yellowstone,247
Asarum lemmonii,Yellowstone,281
Scutellaria serrata,Great Smoky Mountains,94
Fraxinus dipetala,Great Smoky Mountains,83
Agastache urticifolia,Great Smoky Mountains,57
Phlox hoodii,Great Smoky Mountains,101
Ilex ambigua,Yellowstone,253
Dodecatheon hendersonii,Yellowstone,268
Carex fracta,Yosemite,192
Calidris canutus,Redwood,106
Douglasia montana,Redwood,75
Dendroica virens,Yosemite,152
Brachythecium acuminatum,Great Smoky Mountains,93
Aspidotis densa,Great Smoky Mountains,76
Woodwardia fimbriata,Yosemite,155
Parapholis incurva,Yellowstone,257
Eptesicus fuscus,Redwood,112
Lomatium cous,Great Smoky Mountains,78
Corydalis aurea var. aurea,Great Smoky Mountains,53
Sedum lanceolatum,Redwood,108
Gavia pacifica,Redwood,124
Symphoricarpos albus var. laevigatus,Great Smoky Mountains,92
Amelanchier alnifolia var. pumila,Yellowstone,274
Dendroica tigrina,Redwood,78
Eriogonum nudum var. scapigerum,Redwood,77
Townsendia alpigena,Redwood,94
Conium maculatum,Yellowstone,264
Lithophragma glabrum,Redwood,93
Epilobium coloratum,Yellowstone,233
Hypnum fertile,Yellowstone,254
Limosella acaulis,Redwood,98
Secale cereale,Yosemite,169
Eriogonum nudum,Redwood,90
Silphium asteriscus,Redwood,89
Silene menziesii,Great Smoky Mountains,67
Thalictrum sparsiflorum,Great Smoky Mountains,54
Saxifraga rhomboidea,Great Smoky Mountains,83
Asperugo procumbens,Great Smoky Mountains,88
Notropis rubellus,Redwood,97
Etheostoma sanguifluum,Redwood,89
Phasianus colchicus,Great Smoky Mountains,83
Cirsium vulgare,Great Smoky Mountains,84
Astragalus miser var. praeteritus,Redwood,109
Galium hypotrichium ssp. hypotrichium,Yosemite,181
Rubus argutus,Great Smoky Mountains,92
Carex raynoldsii,Redwood,94
Bucephala clangula,Yellowstone,252
Carex limosa,Great Smoky Mountains,91
Ptilagrostis kingii,Redwood,119
Viola macloskeyi,Redwood,77
Euphorbia lathyris,Yosemite,135
Sisyrinchium idahoense var. idahoense,Yosemite,186
Sedum radiatum,Yosemite,149
Acer glabrum,Redwood,30
Potentilla wheeleri,Yellowstone,215
Petrochelidon pyrrhonota,Redwood,126
Noccaea montana,Great Smoky Mountains,94
Troglodytes troglodytes,Yellowstone,231
Veronica persica,Yellowstone,266
Tamias umbrinus,Yosemite,182
Colinus virginianus,Yosemite,177
Artemisia cana ssp. bolanderi,Yosemite,153
Epilobium densiflorum,Redwood,116
Agrostis mertensii,Redwood,74
Streptopelia decaocto,Redwood,92
Mimulus palmeri,Yellowstone,233
Lampropeltis triangulum triangulum,Great Smoky Mountains,85
Cuscuta gronovii,Great Smoky Mountains,97
Labidesthes sicculus,Yellowstone,224
Phlox amoena,Yosemite,142
Aimophila ruficeps,Redwood,82
Epipactis gigantea,Great Smoky Mountains,47
Ixobrychus exilis,Redwood,94
Carex jamesii,Yellowstone,231
Viola pubescens var. scabriuscula,Yosemite,176
Smilax tamnoides,Yellowstone,228
Ammodramus leconteii,Great Smoky Mountains,86
Campanula divaricata,Great Smoky Mountains,30
Plethodon jordani,Yellowstone,273
Cottus gulosus,Great Smoky Mountains,41
Notropis volucellus,Yellowstone,249
Rubus suus,Yosemite,145
Diplazium pycnocarpon,Great Smoky Mountains,74
Danthonia compressa,Yosemite,159
Polioptila caerulea,Yosemite,164
Angelica triquinata,Yellowstone,258
Agrostis scabra var. scabra,Redwood,92
Fissidens osmundioides,Redwood,133
Aeronautes saxatalis,Yosemite,178
Blarina brevicauda,Yellowstone,244
Allium tricoccum,Redwood,104
Zizia aurea,Yosemite,144
Cyperus strigosus,Redwood,112
Juncus occidentalis,Redwood,157
Penstemon roezlii,Yosemite,120
Limnanthes striata,Redwood,98
Collinsonia canadensis,Great Smoky Mountains,104
Vernonia gigantea,Yosemite,140
Medicago polymorpha,Yellowstone,240
Wilsonia pusilla,Yellowstone,205
Astragalus drummondii,Yosemite,153
Fabronia ciliaris,Yellowstone,214
Ribes inerme var. inerme,Yosemite,155
Ranunculus macounii,Yellowstone,225
